overlay_type,overlay_description,overlay_seed,scenario_stratum,topology_fingerprint,topology_unchanged,suppliers,demand_count,damaged_edge_count,damaged_bridge_count,total_demand,total_supply
SR-B,damage,4,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,5,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,6,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,7,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,8,natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,9,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,10,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,11,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,12,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,13,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,14,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,15,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,16,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,17,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,18,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,19,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-B,damage,20,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|2|3,35,16,0,11288.0,9000.0
SR-C,role+damage,1,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,5|9|37,35,16,0,11288.0,9000.0
SR-C,role+damage,2,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,4|6|24,35,16,0,11288.0,9000.0
SR-C,role+damage,3,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,16|35|38,35,16,0,11288.0,9000.0
SR-C,role+damage,4,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,7|16|20,35,16,0,11288.0,9000.0
SR-C,role+damage,5,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,17|23|34,35,16,0,11288.0,9000.0
SR-C,role+damage,6,natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,6|32|37,35,16,0,11288.0,9000.0
SR-C,role+damage,7,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,10|21|26,35,16,0,11288.0,9000.0
SR-C,role+damage,8,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,15|24|25,35,16,0,11288.0,9000.0
SR-C,role+damage,9,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,18|24|30,35,16,0,11288.0,9000.0
SR-C,role+damage,10,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,3|28|37,35,16,0,11288.0,9000.0
SR-C,role+damage,11,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,29|30|36,35,16,0,11288.0,9000.0
SR-C,role+damage,12,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,18|31|34,35,16,0,11288.0,9000.0
SR-C,role+damage,13,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,12|17|19,35,16,0,11288.0,9000.0
SR-C,role+damage,14,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,7|16|34,35,16,0,11288.0,9000.0
SR-C,role+damage,15,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,1|14|34,35,16,0,11288.0,9000.0
SR-C,role+damage,16,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,19|24|31,35,16,0,11288.0,9000.0
SR-C,role+damage,17,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,20|27|34,35,16,0,11288.0,9000.0
SR-C,role+damage,18,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,8|12|29,35,16,0,11288.0,9000.0
SR-C,role+damage,19,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,3|8|34,35,16,0,11288.0,9000.0
SR-C,role+damage,20,strong-natural-active,d5591f0e909bb53c26a24a15db143202001b3b944562ca67eed144a61533dd5c,True,7|10|17,35,16,0,11288.0,9000.0
